Issuer Company,Year,Issue Open,Issue Close,Issue Type,Issue Size(Crore Rs.),Issue Price(Rs.),Listing Day Close Price (Rs.)ÿ,Status,Return
IRB Infrastructure Developers Ltd IPO,2008,31-Jan-08,05-Feb-08,BB,944.57,185,189.65,1,2.51
Emaar MGF Land Ltd IPO,2008,01-Feb-08,11-Feb-08,BB,,,,0,0
Tulsi Extrusions Limited IPO,2008,01-Feb-08,05-Feb-08,BB,48.45,85,140.85,1,65.71
SVEC Constructions Ltd IPO,2008,04-Feb-08,13-Feb-08,BB,,,,0,0
GSS America Infotech Ltd IPO,2008,11-Feb-08,15-Feb-08,BB,139.9,400,500.8,1,25.2
V-Guard Industries Limited IPO,2008,18-Feb-08,21-Feb-08,BB,65.6,82,75.95,1,-7.38
Rural Electrification Corporation Ltd. IPO,2008,19-Feb-08,22-Feb-08,BB,"1,639.26",105,121.3,1,15.52
Gammon Infrastructure Projects Ltd IPO,2008,10-Mar-08,13-Mar-08,BB,276.39,167,158.15,1,-5.3
Sita Shree Food Products Ltd IPO,2008,11-Mar-08,14-Mar-08,BB,31.5,30,43.7,1,45.67
Titagarh Wagons Limited IPO,2008,24-Mar-08,27-Mar-08,BB,128.72,540,706.85,1,30.9
Kiri Dyes and Chemicals Limited IPO,2008,25-Mar-08,02-Apr-08,BB,56.25,150,158.95,1,5.97
Gokul Refoils and Solvent Limited IPO,2008,08-May-08,13-May-08,BB,139.59,195,182.05,1,-6.64
Sejal Architectural Glass Ltd IPO,2008,09-Jun-08,12-Jun-08,BB,105.73,115,78.25,1,-31.96
First Winner Industries Limited IPO,2008,09-Jun-08,17-Jun-08,BB,68.75,125,89.2,1,-28.64
Lotus Eye Care Hospital Limited IPO,2008,12-Jun-08,20-Jun-08,BB,38,38,35.65,1,-6.18
KSK Energy Ventures Ltd IPO,2008,23-Jun-08,25-Jun-08,BB,830.66,240,191.75,1,-20.1
Birla Cotsyn (India) Limited IPO,2008,30-Jun-08,09-Jul-08,BB,144.18,14,9.45,1,-32.5
Vishal Information Technologies Ltd IPO,2008,21-Jul-08,24-Jul-08,BB,41.85,150,194.6,1,29.73
Nu Tek India Limited IPO,2008,29-Jul-08,01-Aug-08,BB,86.4,192,199.15,1,3.72
Austral Coke & Projects Ltd IPO,2008,07-Aug-08,13-Aug-08,BB,142.3,196,225.95,1,15.28
Resurgere Mines & Minerals India Ltd IPO,2008,11-Aug-08,13-Aug-08,BB,120.15,270,533.55,1,97.61
20 Microns Limited IPO,2008,08-Sep-08,11-Sep-08,BB,23.93,55,33.65,1,-38.82
Alkali Metals Limited IPO,2008,07-Oct-08,15-Oct-08,BB,26.27,103,173.4,1,68.35
Gemini Engi-Fab Limited IPO,2009,03-Feb-09,06-Feb-09,BB,,,,0,0
Edserv Softsystems Limited IPO,2009,05-Feb-09,09-Feb-09,BB,23.84,60,136.4,1,127.33
Mahindra Holidays and Resorts India Ltd IPO,2009,23-Jun-09,26-Jun-09,BB,277.96,300,317.45,1,5.82
Excel Infoways Limited IPO,2009,14-Jul-09,17-Jul-09,BB,48.17,85,95.85,1,12.76
Raj Oil Mills Limited IPO,2009,20-Jul-09,23-Jul-09,BB,114,120,119.25,1,-0.63
Adani Power Limited IPO,2009,28-Jul-09,31-Jul-09,BB,"3,016.52",100,100.1,1,0.1
NHPC Limited IPO,2009,07-Aug-09,12-Aug-09,BB,"6,038.55",36,36.75,1,2.08
Jindal Cotex Limited IPO,2009,27-Aug-09,01-Sep-09,BB,84.38,75,87.3,1,16.4
Globus Spirits Limited IPO,2009,31-Aug-09,02-Sep-09,BB,75,100,91,1,-9
Oil India Limited IPO,2009,07-Sep-09,10-Sep-09,BB,"2,777.25","1,050.00",1141.2,1,8.69
Pipavav Shipyard Limited IPO,2009,16-Sep-09,18-Sep-09,BB,495.61,58,56.7,1,-2.24
Euro Multivision Limited IPO,2009,22-Sep-09,24-Sep-09,BB,66,75,53.55,1,-28.6
Thinksoft Global Services Ltd IPO,2009,22-Sep-09,01-Oct-09,BB,45.58,125,164.4,1,31.52
Indiabulls Power Limited IPO,2009,12-Oct-09,15-Oct-09,BB,"1,529.10",45,39.5,1,-12.22
Den Networks Limited IPO,2009,28-Oct-09,30-Oct-09,BB,364.46,195,163.4,1,-16.21
Astec LifeSciences Limited IPO,2009,29-Oct-09,04-Nov-09,BB,61.5,82,84,1,2.44
Cox and Kings (India) Limited IPO,2009,18-Nov-09,20-Nov-09,BB,610.39,330,425.4,1,28.91
MBL Infrastructures Ltd IPO,2009,27-Nov-09,01-Dec-09,BB,102.6,180,206.55,1,14.75
JSW Energy Limited IPO,2009,07-Dec-09,09-Dec-09,BB,"2,700.00",95,100.85,1,6.16
Godrej Properties Limited IPO,2009,09-Dec-09,11-Dec-09,BB,468.85,490,537.25,1,9.64
D B Corp Limited IPO,2009,11-Dec-09,15-Dec-09,BB,384.22,212,265.9,1,25.42
Infinite Computer Solutions India Ltd IPO,2010,11-Jan-10,13-Jan-10,BB,189.8,165,191.8,1,16.24
Jubilant Foodworks Ltd IPO,2010,18-Jan-10,20-Jan-10,BB,328.72,145,229.1,1,58
Aqua Logistics Ltd IPO,2010,25-Jan-10,02-Feb-10,BB,150,215,244.6,1,13.77
Thangamayil Jewellery Limited IPO,2010,27-Jan-10,29-Jan-10,BB,28.76,75,71.05,1,-5.27
Syncom Healthcare Limited IPO,2010,27-Jan-10,29-Jan-10,BB,56.25,75,87.75,1,17
Vascon Engineers Limited IPO,2010,27-Jan-10,29-Jan-10,BB,178.2,165,148.05,1,-10.27
D B Realty Limited IPO,2010,29-Jan-10,02-Feb-10,BB,"1,500.00",468,456.2,1,-2.52
Emmbi Polyarns Limited IPO,2010,01-Feb-10,03-Feb-10,BB,38.96,45,28.75,1,-36.11
ARSS Infrastructure Projects Ltd IPO,2010,08-Feb-10,11-Feb-10,BB,103,450,737.45,1,63.88
Hathway Cable & Datacom Ltd IPO,2010,09-Feb-10,11-Feb-10,BB,666,240,207.65,1,-13.48
